split,image_count,label_file_count,box_count,empty_label_count,boxes_per_image_min,boxes_per_image_q25,boxes_per_image_median,boxes_per_image_mean,boxes_per_image_q75,boxes_per_image_max,image_width_min,image_width_q25,image_width_median,image_width_mean,image_width_q75,image_width_max,image_height_min,image_height_q25,image_height_median,image_height_mean,image_height_q75,image_height_max,normalized_box_width_min,normalized_box_width_q25,normalized_box_width_median,normalized_box_width_mean,normalized_box_width_q75,normalized_box_width_max,normalized_box_height_min,normalized_box_height_q25,normalized_box_height_median,normalized_box_height_mean,normalized_box_height_q75,normalized_box_height_max,normalized_box_area_min,normalized_box_area_q25,normalized_box_area_median,normalized_box_area_mean,normalized_box_area_q75,normalized_box_area_max,box_aspect_ratio_min,box_aspect_ratio_q25,box_aspect_ratio_median,box_aspect_ratio_mean,box_aspect_ratio_q75,box_aspect_ratio_max
train,6738,6738,9415,0,1.0,1.0,1.0,1.3972989017512616,2.0,7.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,0.004861,0.059722,0.104167,0.1185524712692512,0.14687499999999998,0.999306,0.007031,0.039062,0.058594,0.062380009346787044,0.076563,0.733594,3.7974132e-05,0.0022265406685,0.006432850868,0.011192642409035794,0.010584795486,0.558915711979,0.235298546796175,1.3679142316819393,1.8035469150001855,1.8270859889521447,2.275587527520352,5.783474871794872
val,1440,1440,1525,0,1.0,1.0,1.0,1.0590277777777777,1.0,3.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,0.039583,0.093056,0.125,0.13431510950819672,0.156944,0.68125,0.029687,0.053906,0.066406,0.07140469836065574,0.082031,0.369531,0.002020394618,0.0053819375,0.008160754947999999,0.011163735691539672,0.0120360875,0.24250471875,0.7072918960581369,1.4386021052631581,1.888034450938173,1.8990654434151095,2.3209955555555557,5.341558518518518
test,1432,1432,1511,0,1.0,1.0,1.0,1.0551675977653632,1.0,3.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,0.047222,0.094444,0.122917,0.13683771343481138,0.156944,0.716667,0.029687,0.053906,0.066406,0.07197063732627398,0.082812,0.326562,0.002021522396,0.005428855382000001,0.008072880816,0.01162697061181403,0.012008758941,0.18299978836800002,0.7552210651935404,1.432467822099954,1.9188821276552517,1.9122245520271293,2.321284741766898,5.22559849813042
total,9610,9610,12451,0,1.0,1.0,1.0,1.2956295525494277,1.0,7.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,0.004861,0.070139,0.110417,0.12270209975102402,0.15,0.999306,0.007031,0.044531,0.060937,0.0646492318689262,0.078125,0.733594,3.7974132e-05,0.0032292161460000003,0.006934663368,0.011241810120080395,0.010988426736,0.558915711979,0.235298546796175,1.382675374095903,1.8308402109124255,1.8462340924669083,2.2872841934376074,5.783474871794872
