class,precision,recall,f1_score,support
Abu_Dhabi,0.9948186528497409,0.9896907216494846,0.9922480620155039,194.0
Ajman,1.0,0.9629629629629629,0.9811320754716981,27.0
Dubai,0.9981378026070763,0.9990680335507922,0.9986027014438752,1073.0
Fujairah,1.0,1.0,1.0,44.0
Ras_Al_Khaimah,1.0,0.9545454545454546,0.9767441860465116,22.0
Sharjah,0.9680851063829787,1.0,0.9837837837837838,91.0
Umm_Al_Quwain,1.0,0.9333333333333333,0.9655172413793104,15.0
macro avg,0.9944345088342565,0.9770857865774325,0.9854325785915261,1466.0
weighted avg,0.9959702766242113,0.9959072305593452,0.9958955278008589,1466.0
